ENSG00000234769	ENST00000326592	16	-1	64043	69448	WASH4P	protein_coding
ENSG00000103326	ENST00000562370	16	1	577717	597392	CAPN15	protein_coding
ENSG00000103326	ENST00000568988	16	1	577823	598209	CAPN15	protein_coding
ENSG00000103326	ENST00000219611	16	1	577856	604636	CAPN15	protein_coding
ENSG00000103326	ENST00000566977	16	1	602755	604636	CAPN15	protein_coding
ENSG00000161992	ENST00000409413	16	1	610422	615528	C16orf11	protein_coding
ENSG00000007541	ENST00000293874	16	1	616995	624519	PIGQ	protein_coding
ENSG00000257108	ENST00000424439	16	1	616996	619487	NHLRC4	protein_coding
ENSG00000257108	ENST00000540585	16	1	617005	619495	NHLRC4	protein_coding
ENSG00000007541	ENST00000409527	16	1	617009	633035	PIGQ	protein_coding
ENSG00000007541	ENST00000409439	16	1	618837	625903	PIGQ	protein_coding
ENSG00000007541	ENST00000422307	16	1	619461	626254	PIGQ	protein_coding
ENSG00000007541	ENST00000321878	16	1	619947	634136	PIGQ	protein_coding
ENSG00000007541	ENST00000439574	16	1	619968	624409	PIGQ	protein_coding
ENSG00000007541	ENST00000026218	16	1	620018	634109	PIGQ	protein_coding
ENSG00000007541	ENST00000470411	16	1	620062	627217	PIGQ	protein_coding
ENSG00000007541	ENST00000540241	16	1	629091	633223	PIGQ	protein_coding
ENSG00000197562	ENST00000569575	16	1	639357	676026	RAB40C	protein_coding
ENSG00000197562	ENST00000535977	16	1	639357	679271	RAB40C	protein_coding
ENSG00000197562	ENST00000566290	16	1	639669	677415	RAB40C	protein_coding
ENSG00000197562	ENST00000539661	16	1	639669	679271	RAB40C	protein_coding
ENSG00000197562	ENST00000568586	16	1	640068	676121	RAB40C	protein_coding
ENSG00000197562	ENST00000538492	16	1	640077	679271	RAB40C	protein_coding
ENSG00000197562	ENST00000248139	16	1	640089	679272	RAB40C	protein_coding
ENSG00000197562	ENST00000563109	16	1	640332	677583	RAB40C	protein_coding
ENSG00000197562	ENST00000564703	16	1	666645	676117	RAB40C	protein_coding
ENSG00000127578	ENST00000319070	16	1	680932	684116	WFIKKN1	protein_coding
ENSG00000130731	ENST00000338401	16	-1	684429	686342	C16orf13	protein_coding
ENSG00000130731	ENST00000301686	16	-1	684430	686302	C16orf13	protein_coding
ENSG00000130731	ENST00000397666	16	-1	684430	686302	C16orf13	protein_coding
ENSG00000130731	ENST00000397664	16	-1	684438	686351	C16orf13	protein_coding
ENSG00000130731	ENST00000397665	16	-1	684526	686290	C16orf13	protein_coding
ENSG00000130731	ENST00000568773	16	-1	684664	686235	C16orf13	protein_coding
ENSG00000130731	ENST00000565163	16	-1	684737	686260	C16orf13	protein_coding
ENSG00000130731	ENST00000568830	16	-1	684949	686358	C16orf13	protein_coding
ENSG00000172366	ENST00000307650	16	1	691813	698474	FAM195A	protein_coding
ENSG00000161996	ENST00000549091	16	1	699325	717833	WDR90	protein_coding
ENSG00000161996	ENST00000293879	16	1	699417	717830	WDR90	protein_coding
ENSG00000161996	ENST00000550739	16	1	709245	710714	WDR90	protein_coding
ENSG00000161996	ENST00000547944	16	1	715184	717830	WDR90	protein_coding
ENSG00000161996	ENST00000315764	16	1	715258	717830	WDR90	protein_coding
ENSG00000161996	ENST00000551100	16	1	716496	717831	WDR90	protein_coding
ENSG00000161996	ENST00000546896	16	1	716911	717830	WDR90	protein_coding
ENSG00000140983	ENST00000315082	16	1	718086	724174	RHOT2	protein_coding
ENSG00000140983	ENST00000563134	16	1	718106	720993	RHOT2	protein_coding
ENSG00000140983	ENST00000561929	16	1	718209	720940	RHOT2	protein_coding
ENSG00000140983	ENST00000569197	16	1	722749	724165	RHOT2	protein_coding
ENSG00000103269	ENST00000352681	16	1	725666	728268	RHBDL1	protein_coding
ENSG00000103269	ENST00000561556	16	1	725683	727843	RHBDL1	protein_coding
ENSG00000103269	ENST00000219551	16	1	726075	728268	RHBDL1	protein_coding
ENSG00000103266	ENST00000565677	16	1	730224	732746	STUB1	protein_coding
ENSG00000103266	ENST00000219548	16	1	730276	732799	STUB1	protein_coding
ENSG00000103266	ENST00000567173	16	1	730424	732193	STUB1	protein_coding
ENSG00000103266	ENST00000564370	16	1	731037	732496	STUB1	protein_coding
ENSG00000103266	ENST00000566408	16	1	731276	732462	STUB1	protein_coding
ENSG00000103266	ENST00000564316	16	1	731481	732746	STUB1	protein_coding
ENSG00000161999	ENST00000412368	16	-1	731671	734439	JMJD8	protein_coding
ENSG00000161999	ENST00000293882	16	-1	731676	734529	JMJD8	protein_coding
ENSG00000161999	ENST00000454700	16	-1	731676	734529	JMJD8	protein_coding
ENSG00000161999	ENST00000609261	16	-1	731703	734334	JMJD8	protein_coding
ENSG00000161999	ENST00000562824	16	-1	732528	734363	JMJD8	protein_coding
ENSG00000161999	ENST00000562111	16	-1	732658	734346	JMJD8	protein_coding
ENSG00000127580	ENST00000293883	16	-1	734622	740400	WDR24	protein_coding
ENSG00000127580	ENST00000248142	16	-1	734622	740444	WDR24	protein_coding
ENSG00000127585	ENST00000397621	16	-1	742500	755829	FBXL16	protein_coding
ENSG00000127585	ENST00000324361	16	-1	742518	755808	FBXL16	protein_coding
ENSG00000127585	ENST00000562563	16	-1	742927	746025	FBXL16	protein_coding
ENSG00000103260	ENST00000568223	16	1	765115	769655	METRN	protein_coding
ENSG00000103260	ENST00000219542	16	1	765338	767390	METRN	protein_coding
ENSG00000103260	ENST00000567076	16	1	765641	767477	METRN	protein_coding
ENSG00000103260	ENST00000568415	16	1	766574	767480	METRN	protein_coding
ENSG00000103254	ENST00000569529	16	1	770975	772601	FAM173A	protein_coding
ENSG00000103254	ENST00000564000	16	1	771097	772585	FAM173A	protein_coding
ENSG00000103254	ENST00000219535	16	1	771142	772573	FAM173A	protein_coding
ENSG00000103254	ENST00000568916	16	1	771672	772590	FAM173A	protein_coding
ENSG00000162004	ENST00000345165	16	-1	772582	775274	CCDC78	protein_coding
ENSG00000162004	ENST00000293889	16	-1	772582	776473	CCDC78	protein_coding
ENSG00000162004	ENST00000423653	16	-1	774927	776846	CCDC78	protein_coding
ENSG00000103253	ENST00000549114	16	1	776936	779733	HAGHL	protein_coding
ENSG00000103253	ENST00000341413	16	1	776958	779715	HAGHL	protein_coding
ENSG00000103253	ENST00000562187	16	1	777106	777549	HAGHL	protein_coding
ENSG00000103253	ENST00000564537	16	1	777106	779715	HAGHL	protein_coding
ENSG00000103253	ENST00000562141	16	1	777119	778895	HAGHL	protein_coding
ENSG00000103253	ENST00000561546	16	1	777246	779185	HAGHL	protein_coding
ENSG00000103253	ENST00000564545	16	1	777262	778985	HAGHL	protein_coding
ENSG00000103253	ENST00000389703	16	1	777271	779715	HAGHL	protein_coding
ENSG00000103253	ENST00000567414	16	1	777293	778624	HAGHL	protein_coding
ENSG00000103253	ENST00000568141	16	1	777346	778603	HAGHL	protein_coding
ENSG00000103253	ENST00000563792	16	1	777739	778399	HAGHL	protein_coding
ENSG00000103245	ENST00000251588	16	-1	779753	791002	NARFL	protein_coding
ENSG00000103245	ENST00000568545	16	-1	779760	787889	NARFL	protein_coding
ENSG00000103245	ENST00000540986	16	-1	779766	790934	NARFL	protein_coding
ENSG00000103245	ENST00000301694	16	-1	780911	790997	NARFL	protein_coding
ENSG00000103245	ENST00000562421	16	-1	782332	787755	NARFL	protein_coding
ENSG00000103245	ENST00000567403	16	-1	784284	787752	NARFL	protein_coding
ENSG00000103245	ENST00000566614	16	-1	784845	791329	NARFL	protein_coding
ENSG00000102854	ENST00000563941	16	1	810762	818862	MSLN	protein_coding
ENSG00000102854	ENST00000545450	16	1	810765	818858	MSLN	protein_coding
ENSG00000102854	ENST00000566549	16	1	810767	818865	MSLN	protein_coding
ENSG00000102854	ENST00000382862	16	1	811089	818861	MSLN	protein_coding
ENSG00000102854	ENST00000563651	16	1	811098	816429	MSLN	protein_coding
ENSG00000102854	ENST00000569566	16	1	812524	815112	MSLN	protein_coding
ENSG00000102854	ENST00000566269	16	1	815732	818798	MSLN	protein_coding
ENSG00000102854	ENST00000561896	16	1	815784	818865	MSLN	protein_coding
ENSG00000162006	ENST00000543963	16	-1	819428	832054	MSLNL	protein_coding
ENSG00000162006	ENST00000293892	16	-1	819428	832926	MSLNL	protein_coding
ENSG00000162006	ENST00000442466	16	-1	819428	833370	MSLNL	protein_coding
ENSG00000007376	ENST00000561734	16	-1	834974	837981	RPUSD1	protein_coding
ENSG00000007376	ENST00000007264	16	-1	834974	838383	RPUSD1	protein_coding
ENSG00000007376	ENST00000565809	16	-1	834991	838371	RPUSD1	protein_coding
ENSG00000007376	ENST00000567114	16	-1	835014	838397	RPUSD1	protein_coding
ENSG00000007376	ENST00000569601	16	-1	835968	838334	RPUSD1	protein_coding
ENSG00000007376	ENST00000565377	16	-1	835983	838381	RPUSD1	protein_coding
ENSG00000007376	ENST00000562070	16	-1	836194	837469	RPUSD1	protein_coding
ENSG00000007376	ENST00000563560	16	-1	836841	838329	RPUSD1	protein_coding
ENSG00000127586	ENST00000317063	16	1	838046	848072	CHTF18	protein_coding
ENSG00000127586	ENST00000262315	16	1	838622	848074	CHTF18	protein_coding
ENSG00000127586	ENST00000455171	16	1	838624	848074	CHTF18	protein_coding
ENSG00000127586	ENST00000426047	16	1	839313	841370	CHTF18	protein_coding
ENSG00000127588	ENST00000248150	16	-1	848041	850733	GNG13	protein_coding
ENSG00000167945	ENST00000301698	16	1	855443	863861	PRR25	protein_coding
ENSG00000103227	ENST00000262301	16	-1	903634	1020999	LMF1	protein_coding
ENSG00000103227	ENST00000399843	16	-1	903638	1020982	LMF1	protein_coding
ENSG00000103227	ENST00000543238	16	-1	903643	1020960	LMF1	protein_coding
ENSG00000103227	ENST00000568897	16	-1	904512	1020866	LMF1	protein_coding
ENSG00000103227	ENST00000566627	16	-1	921287	997644	LMF1	protein_coding
ENSG00000103227	ENST00000570014	16	-1	921317	1031297	LMF1	protein_coding
ENSG00000103227	ENST00000539379	16	-1	931419	1020963	LMF1	protein_coding
ENSG00000103227	ENST00000562380	16	-1	960980	1014122	LMF1	protein_coding
ENSG00000269047	ENST00000601510	16	1	1031252	1031663	AC009041.2	protein_coding
ENSG00000005513	ENST00000293894	16	1	1031808	1036979	SOX8	protein_coding
ENSG00000162009	ENST00000397547	16	1	1122756	1131454	SSTR5	protein_coding
ENSG00000162009	ENST00000293897	16	1	1128781	1131454	SSTR5	protein_coding
ENSG00000162009	ENST00000562758	16	1	1128869	1131454	SSTR5	protein_coding
ENSG00000184471	ENST00000328449	16	-1	1140005	1146244	C1QTNF8	protein_coding
ENSG00000196557	ENST00000348261	16	1	1203241	1271768	CACNA1H	protein_coding
ENSG00000196557	ENST00000358590	16	1	1203241	1271771	CACNA1H	protein_coding
ENSG00000196557	ENST00000565831	16	1	1203738	1271084	CACNA1H	protein_coding
ENSG00000196557	ENST00000562079	16	1	1260067	1271084	CACNA1H	protein_coding
ENSG00000196557	ENST00000564231	16	1	1260067	1271084	CACNA1H	protein_coding
ENSG00000196557	ENST00000569107	16	1	1260067	1271084	CACNA1H	protein_coding
ENSG00000196557	ENST00000564927	16	1	1261482	1271765	CACNA1H	protein_coding
ENSG00000116176	ENST00000234798	16	-1	1271651	1275257	TPSG1	protein_coding
ENSG00000172236	ENST00000338844	16	1	1290697	1292555	TPSAB1	protein_coding
ENSG00000172236	ENST00000461509	16	1	1290725	1292555	TPSAB1	protein_coding
ENSG00000172236	ENST00000561736	16	1	1291252	1292517	TPSAB1	protein_coding
ENSG00000095917	ENST00000397534	16	1	1306060	1308532	TPSD1	protein_coding
ENSG00000095917	ENST00000211076	16	1	1306134	1308463	TPSD1	protein_coding
ENSG00000103275	ENST00000355803	16	1	1358881	1377019	UBE2I	protein_coding
ENSG00000103275	ENST00000325437	16	1	1359154	1377019	UBE2I	protein_coding
ENSG00000103275	ENST00000397514	16	1	1359511	1377018	UBE2I	protein_coding
ENSG00000103275	ENST00000397515	16	1	1359636	1377019	UBE2I	protein_coding
ENSG00000103275	ENST00000567383	16	1	1359657	1364315	UBE2I	protein_coding
ENSG00000103275	ENST00000403747	16	1	1359679	1375215	UBE2I	protein_coding
ENSG00000103275	ENST00000566587	16	1	1359804	1374953	UBE2I	protein_coding
ENSG00000103275	ENST00000406620	16	1	1361872	1375351	UBE2I	protein_coding
ENSG00000103275	ENST00000567074	16	1	1363561	1370518	UBE2I	protein_coding
ENSG00000103275	ENST00000402301	16	1	1363996	1371777	UBE2I	protein_coding
ENSG00000007516	ENST00000426824	16	1	1383602	1398795	BAIAP3	protein_coding
ENSG00000007516	ENST00000397488	16	1	1383644	1399439	BAIAP3	protein_coding
ENSG00000007516	ENST00000562208	16	1	1383646	1398641	BAIAP3	protein_coding
ENSG00000007516	ENST00000568887	16	1	1383646	1398756	BAIAP3	protein_coding
ENSG00000007516	ENST00000324385	16	1	1384505	1399439	BAIAP3	protein_coding
ENSG00000007516	ENST00000397489	16	1	1384653	1399439	BAIAP3	protein_coding
ENSG00000007516	ENST00000421665	16	1	1386198	1398794	BAIAP3	protein_coding
ENSG00000007516	ENST00000566162	16	1	1394669	1399439	BAIAP3	protein_coding
ENSG00000007516	ENST00000561793	16	1	1396010	1397611	BAIAP3	protein_coding
ENSG00000007520	ENST00000007390	16	-1	1399241	1401912	TSR3	protein_coding
ENSG00000090581	ENST00000204679	16	1	1401924	1413352	GNPTG	protein_coding
ENSG00000090581	ENST00000529110	16	1	1401984	1412280	GNPTG	protein_coding
ENSG00000059145	ENST00000391893	16	-1	1413206	1420007	UNKL	protein_coding
ENSG00000059145	ENST00000403703	16	-1	1413206	1429681	UNKL	protein_coding
ENSG00000059145	ENST00000389221	16	-1	1413206	1464692	UNKL	protein_coding
ENSG00000059145	ENST00000248104	16	-1	1413207	1429646	UNKL	protein_coding
ENSG00000059145	ENST00000397464	16	-1	1415000	1429684	UNKL	protein_coding
ENSG00000059145	ENST00000508903	16	-1	1415013	1464692	UNKL	protein_coding
ENSG00000059145	ENST00000402641	16	-1	1415666	1429687	UNKL	protein_coding
ENSG00000059145	ENST00000513783	16	-1	1417714	1429122	UNKL	protein_coding
ENSG00000059145	ENST00000397462	16	-1	1433524	1464700	UNKL	protein_coding
ENSG00000059145	ENST00000301712	16	-1	1448306	1464752	UNKL	protein_coding
ENSG00000174109	ENST00000442039	16	-1	1469745	1470801	C16orf91	protein_coding
ENSG00000174109	ENST00000563974	16	-1	1469753	1470757	C16orf91	protein_coding
ENSG00000174109	ENST00000310355	16	-1	1469944	1479345	C16orf91	protein_coding
ENSG00000197599	ENST00000409671	16	-1	1484386	1494557	CCDC154	protein_coding
ENSG00000197599	ENST00000389176	16	-1	1484389	1494490	CCDC154	protein_coding
ENSG00000103249	ENST00000448525	16	-1	1494935	1525085	CLCN7	protein_coding
ENSG00000103249	ENST00000382745	16	-1	1494936	1525581	CLCN7	protein_coding
ENSG00000103249	ENST00000262318	16	-1	1495345	1525058	CLCN7	protein_coding
ENSG00000103249	ENST00000569851	16	-1	1507255	1521957	CLCN7	protein_coding
ENSG00000103249	ENST00000564568	16	-1	1510840	1524366	CLCN7	protein_coding
ENSG00000251692	ENST00000447419	16	-1	1535887	1538936	PTX4	protein_coding
ENSG00000251692	ENST00000440447	16	-1	1535887	1538982	PTX4	protein_coding
ENSG00000251692	ENST00000293922	16	-1	1535940	1538468	PTX4	protein_coding
ENSG00000100726	ENST00000262319	16	1	1543364	1560458	TELO2	protein_coding
ENSG00000100726	ENST00000567423	16	1	1551766	1556263	TELO2	protein_coding
ENSG00000187535	ENST00000361339	16	-1	1560428	1583495	IFT140	protein_coding
ENSG00000187535	ENST00000426508	16	-1	1560428	1662111	IFT140	protein_coding
ENSG00000187535	ENST00000568837	16	-1	1568103	1570039	IFT140	protein_coding
ENSG00000131634	ENST00000253934	16	1	1578689	1605581	TMEM204	protein_coding
ENSG00000131634	ENST00000566264	16	1	1583574	1605581	TMEM204	protein_coding
ENSG00000187535	ENST00000569646	16	-1	1652378	1660667	IFT140	protein_coding
ENSG00000187535	ENST00000569812	16	-1	1652399	1660045	IFT140	protein_coding
ENSG00000007545	ENST00000397412	16	1	1662326	1727909	CRAMP1L	protein_coding
ENSG00000007545	ENST00000436138	16	1	1664641	1727126	CRAMP1L	protein_coding
ENSG00000007545	ENST00000293925	16	1	1664641	1727907	CRAMP1L	protein_coding
ENSG00000007545	ENST00000262317	16	1	1705913	1727907	CRAMP1L	protein_coding
ENSG00000007545	ENST00000415022	16	1	1712606	1718109	CRAMP1L	protein_coding
ENSG00000206053	ENST00000248098	16	1	1728257	1752087	HN1L	protein_coding
ENSG00000206053	ENST00000562684	16	1	1728278	1751491	HN1L	protein_coding
ENSG00000206053	ENST00000561516	16	1	1728280	1749600	HN1L	protein_coding
ENSG00000206053	ENST00000382711	16	1	1728281	1749238	HN1L	protein_coding
ENSG00000206053	ENST00000566742	16	1	1728291	1750226	HN1L	protein_coding
ENSG00000206053	ENST00000569765	16	1	1728314	1749267	HN1L	protein_coding
ENSG00000206053	ENST00000566691	16	1	1730338	1748820	HN1L	protein_coding
ENSG00000206053	ENST00000382710	16	1	1730338	1749270	HN1L	protein_coding
ENSG00000206053	ENST00000565851	16	1	1735382	1748977	HN1L	protein_coding
ENSG00000206053	ENST00000562569	16	1	1735501	1752281	HN1L	protein_coding
ENSG00000138834	ENST00000250894	16	1	1756184	1820318	MAPK8IP3	protein_coding
ENSG00000138834	ENST00000356010	16	1	1756194	1819141	MAPK8IP3	protein_coding
ENSG00000103024	ENST00000219302	16	-1	1820287	1821731	NME3	protein_coding
ENSG00000103024	ENST00000564628	16	-1	1820321	1821496	NME3	protein_coding
ENSG00000103024	ENST00000563498	16	-1	1820345	1821562	NME3	protein_coding
ENSG00000074071	ENST00000177742	16	-1	1821891	1823151	MRPS34	protein_coding
ENSG00000074071	ENST00000397375	16	-1	1821891	1823156	MRPS34	protein_coding
ENSG00000197774	ENST00000568449	16	1	1823208	1826312	EME2	protein_coding
ENSG00000197774	ENST00000307394	16	1	1823229	1826239	EME2	protein_coding
ENSG00000162032	ENST00000566339	16	-1	1826713	1832821	SPSB3	protein_coding
ENSG00000162032	ENST00000301717	16	-1	1826750	1831517	SPSB3	protein_coding
ENSG00000162032	ENST00000569769	16	-1	1828038	1843701	SPSB3	protein_coding
ENSG00000095906	ENST00000262302	16	1	1832902	1839192	NUBP2	protein_coding
ENSG00000095906	ENST00000563136	16	1	1832969	1837741	NUBP2	protein_coding
ENSG00000095906	ENST00000565987	16	1	1832991	1838727	NUBP2	protein_coding
ENSG00000095906	ENST00000543305	16	1	1832991	1839083	NUBP2	protein_coding
ENSG00000095906	ENST00000568287	16	1	1832996	1838001	NUBP2	protein_coding
ENSG00000095906	ENST00000565134	16	1	1833008	1838614	NUBP2	protein_coding
ENSG00000095906	ENST00000562263	16	1	1833854	1838151	NUBP2	protein_coding
ENSG00000095906	ENST00000568706	16	1	1834011	1838970	NUBP2	protein_coding
ENSG00000099769	ENST00000215539	16	-1	1840414	1843764	IGFALS	protein_coding
ENSG00000099769	ENST00000415638	16	-1	1840477	1843733	IGFALS	protein_coding
ENSG00000099769	ENST00000568221	16	-1	1841806	1844972	IGFALS	protein_coding
ENSG00000063854	ENST00000564445	16	-1	1845621	1872905	HAGH	protein_coding
ENSG00000063854	ENST00000566644	16	-1	1857578	1866908	HAGH	protein_coding
ENSG00000063854	ENST00000455446	16	-1	1858873	1876835	HAGH	protein_coding
ENSG00000063854	ENST00000397356	16	-1	1858874	1877195	HAGH	protein_coding
ENSG00000063854	ENST00000397353	16	-1	1859104	1876842	HAGH	protein_coding
ENSG00000063854	ENST00000566709	16	-1	1859125	1877158	HAGH	protein_coding
ENSG00000063854	ENST00000569339	16	-1	1867190	1876779	HAGH	protein_coding
ENSG00000180185	ENST00000382666	16	1	1876968	1890208	FAHD1	protein_coding
ENSG00000180185	ENST00000382668	16	1	1876968	1890208	FAHD1	protein_coding
ENSG00000180185	ENST00000427358	16	1	1877225	1878908	FAHD1	protein_coding
ENSG00000162039	ENST00000412554	16	-1	1883984	1922179	MEIOB	protein_coding
ENSG00000162039	ENST00000452149	16	-1	1883984	1922179	MEIOB	protein_coding
ENSG00000162039	ENST00000470044	16	-1	1883988	1934295	MEIOB	protein_coding
ENSG00000162039	ENST00000325962	16	-1	1883989	1918186	MEIOB	protein_coding
ENSG00000162039	ENST00000397344	16	-1	1883989	1922179	MEIOB	protein_coding
ENSG00000162039	ENST00000496541	16	-1	1894961	1922145	MEIOB	protein_coding
